,count,mean,std,min,25%,50%,75%,max
RHipAngleX,1939.0,-0.5085948096080454,4.944943860625772,-14.4449,-4.02529,-0.225582,2.91886,13.1529
RHipAngleY,1939.0,-3.3413990154100053,5.418956263094439,-18.2448,-7.01025,-3.78415,0.37542200000000003,8.71679
RHipAngleZ,1939.0,15.248022336993294,16.597688291543886,-19.8943,0.698526,17.338,29.5503,47.9404
LHipAngleX,1939.0,-0.3497082032594121,4.726978856365186,-14.2695,-3.617025,-0.126923,2.7399500000000003,13.4249
LHipAngleY,1939.0,-5.559504972821042,5.505631379304215,-21.4583,-9.19219,-5.91752,-1.8818199999999998,10.5867
LHipAngleZ,1939.0,14.778946358019597,16.571480675395406,-21.1473,0.51007,16.9733,28.37515,48.9841
RKneeAngleZ,1939.0,22.624857619747292,20.781792333726028,-7.46788,6.384,14.9157,37.0135,69.1961
LKneeAngleZ,1939.0,21.618530087906137,20.653861134411247,-5.8773599999999995,5.86145,13.8654,35.6034,66.78
RAnkleAngleX,1939.0,3.3663110249989683,5.069402536439817,-8.42248,-0.6802539999999999,2.8488900000000004,6.77055,19.1058
RAnkleAngleZ,1939.0,3.103984522274368,7.6029318494375,-34.8575,-0.8635155,4.35418,8.347005,20.9966
LAnkleAngleX,1939.0,1.0109769815471894,4.782287692910221,-13.6071,-2.4903,0.74632,4.1645199999999996,15.3781
LAnkleAngleZ,1939.0,2.6244733190562144,7.570090587231826,-26.1355,-1.16826,3.84763,7.61069,19.9635
